Spieltag;Heimmannschaft;Auswärtsmannschaft;Tore_Heim;Tore_Gast
33;Hamburger SV;VfL Wolfsburg;0;1
33;Hannover 96;1899 Hoffenheim;1;0
33;Hertha BSC;SV Darmstadt 98;1;2
33;VfB Stuttgart;1. FSV Mainz 05;1;3
34;1. FSV Mainz 05;Hertha BSC;0;0
34;1899 Hoffenheim;FC Schalke 04;1;4
34;Bayer Leverkusen;FC Ingolstadt 04;3;2
34;Borussia Dortmund;1. FC Köln;2;2
34;FC Augsburg;Hamburger SV;1;3
34;FC Bayern München;Hannover 96;3;1
34;SV Darmstadt 98;Borussia Mönchengladbach;0;2
34;SV Werder Bremen;Eintracht Frankfurt;1;0
34;VfL Wolfsburg;VfB Stuttgart;3;1
